"status","meta_product_id","name","slug","rating","review_count","genre","source_image_url","blocking_issues","warnings"
"blocked","6288107037945749","Big scary","big-scary","4.9","153054","플랫폼 게임","","missing_thumbnail",""
"blocked","6458628580871969","Scary Baboon","scary-baboon","4.7","76745","플랫폼 게임","","missing_thumbnail",""
"blocked","8369406983071517","Ruffnauts: Planet Pals","ruffnauts-planet-pals","4.8","65171","플랫폼 게임","","missing_thumbnail",""
"blocked","25607678688824431","Shark Go","shark-go","4.8","58944","플랫폼 게임","","missing_thumbnail",""
"blocked","8464137310294097","VRFS - 축구 시뮬레이터","vrfs","4.8","44646","스포츠","","missing_thumbnail",""
"blocked","25431670133092051","HERO x HERO","hero-x-hero","4.7","44557","슈팅 게임","","missing_thumbnail",""
"blocked","8936648093086115","ANIMAL RIVALS","animal-rivals","4.8","39671","슈팅 게임","","missing_thumbnail",""
"blocked","24417313747915126","Untangled","untangled","4.7","38003","격투","","missing_thumbnail",""
"blocked","5981971501867491","Derby Baseball","derby-baseball","4.9","34119","스포츠","","missing_thumbnail",""
"blocked","6859397944122034","DigiGods","digigods","4.8","32256","액션","","missing_thumbnail",""
"blocked","24673981072227472","Wizherd","wizherd","4.8","24102","격투","","missing_thumbnail",""
"blocked","9756772107679490","Bwah - Grows Offline","bwah-grows-offline","4.7","22671","샌드박스","","missing_thumbnail",""
"blocked","2532035600194083","Worlds","worlds","3.4","19885","월드 만들기","","missing_thumbnail",""
"blocked","25404867019199136","Super City","super-city","4.9","19347","아케이드","","missing_thumbnail",""
"blocked","25415738261360858","Last Bone","last-bone","4.8","18513","플랫폼 게임","","missing_thumbnail",""
"blocked","9665456710187837","War of Wizards: Apprentice Edition","war-of-wizards-apprentice-edition","4.8","17317","슈팅 게임","","missing_thumbnail",""
"blocked","26317184997880598","Animal Blocks","animal-blocks","4.8","17144","플랫폼 게임","","missing_thumbnail",""
"blocked","26032069883043850","Lethal Ape","lethal-ape","4.8","17041","플랫폼 게임","","missing_thumbnail",""
"blocked","28891150583866181","Lethal Ape Redux","lethal-ape-redux","4.8","16437","플랫폼 게임","","missing_thumbnail",""
"blocked","8205502289496386","Mutants","mutants","4.9","16434","액션","","missing_thumbnail",""
"blocked","6366866460079568","Blobtown","blobtown","4.6","16210","플랫폼 게임","","missing_thumbnail",""
"blocked","7766928490091147","Dungeon Free","dungeon-free","4.7","15023","슈팅 게임","","missing_thumbnail",""
"blocked","6904307006303740","Scary Free","scary-free","4.5","13131","어드벤처","","missing_thumbnail",""
